Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,41.855000,27.635375,22.525000,16.394797,100.000000,0.000000,41.055000,26.358907,100.000000,0.000000,50.685000,29.696393
2,39.350000,26.537474,22.525000,16.394797,100.000000,0.000000,44.430000,26.871455,100.000000,0.000000,50.685000,29.696393
3,38.740000,25.990621,22.525000,16.394797,100.000000,0.000000,46.365000,26.762133,100.000000,0.000000,40.445000,26.063134
4,35.735000,25.164157,22.525000,16.394797,100.000000,0.000000,46.975000,27.537509,100.000000,0.000000,40.445000,26.063134
5,36.535000,24.676685,22.525000,16.394797,100.000000,0.000000,47.730000,28.187534,100.000000,0.000000,40.445000,26.063134
6,35.695000,24.831673,22.525000,16.394797,100.000000,0.000000,49.265000,28.117339,100.000000,0.000000,36.420000,25.180421
7,35.950000,24.932258,22.525000,16.394797,100.000000,0.000000,49.515000,28.324014,100.000000,0.000000,36.420000,25.180421
8,33.770000,24.206964,22.525000,16.394797,100.000000,0.000000,49.530000,28.451698,100.000000,0.000000,36.420000,25.180421
9,33.465000,24.232391,22.525000,16.394797,100.000000,0.000000,49.355000,28.332119,100.000000,0.000000,37.215000,25.688690
10,33.490000,24.435628,22.525000,16.394797,100.000000,0.000000,49.830000,28.497212,100.000000,0.000000,37.215000,25.688690
11,32.075000,23.593630,22.525000,16.394797,100.000000,0.000000,49.835000,28.491539,100.000000,0.000000,37.215000,25.688690
12,32.610000,23.135857,22.525000,16.394797,100.000000,0.000000,50.225000,28.586787,100.000000,0.000000,40.190000,25.937500
13,32.465000,23.192645,22.525000,16.394797,100.000000,0.000000,49.860000,28.440120,100.000000,0.000000,40.190000,25.937500
14,32.185000,22.420098,22.525000,16.394797,100.000000,0.000000,49.960000,28.629328,100.000000,0.000000,40.190000,25.937500
15,32.365000,23.412855,22.525000,16.394797,100.000000,0.000000,50.305000,28.813920,100.000000,0.000000,37.685000,25.372934
16,32.580000,23.723271,22.525000,16.394797,100.000000,0.000000,49.960000,28.629328,100.000000,0.000000,37.685000,25.372934
17,32.495000,23.536142,22.525000,16.394797,100.000000,0.000000,49.990000,28.610486,100.000000,0.000000,37.685000,25.372934
18,33.700000,24.702834,22.525000,16.394797,100.000000,0.000000,50.205000,28.785812,100.000000,0.000000,40.990000,25.318766
19,33.700000,24.702834,22.525000,16.394797,100.000000,0.000000,49.925000,28.610826,100.000000,0.000000,40.990000,25.318766
20,34.505000,24.942734,22.525000,16.394797,100.000000,0.000000,50.300000,28.694425,100.000000,0.000000,40.990000,25.318766
21,34.895000,25.386886,22.525000,16.394797,100.000000,0.000000,49.970000,28.511385,100.000000,0.000000,36.020000,23.762357
22,34.895000,25.386886,22.525000,16.394797,100.000000,0.000000,49.820000,28.678696,100.000000,0.000000,36.020000,23.762357
23,35.465000,25.620866,22.525000,16.394797,100.000000,0.000000,49.820000,28.678696,100.000000,0.000000,36.020000,23.762357
24,36.135000,26.025695,22.525000,16.394797,100.000000,0.000000,49.820000,28.678696,100.000000,0.000000,36.760000,24.141094
25,36.135000,26.025695,22.525000,16.394797,100.000000,0.000000,49.820000,28.678696,100.000000,0.000000,36.760000,24.141094
26,36.270000,25.978204,22.525000,16.394797,100.000000,0.000000,49.820000,28.678696,100.000000,0.000000,36.760000,24.141094
27,36.665000,25.879196,22.525000,16.394797,100.000000,0.000000,49.430000,28.578228,100.000000,0.000000,38.420000,25.999300
28,36.665000,25.879196,22.525000,16.394797,100.000000,0.000000,50.030000,28.948214,100.000000,0.000000,38.420000,25.999300
29,36.665000,25.879196,22.525000,16.394797,100.000000,0.000000,50.030000,28.948214,100.000000,0.000000,38.420000,25.999300
30,34.680000,25.622404,22.525000,16.394797,100.000000,0.000000,49.750000,28.772513,100.000000,0.000000,38.070000,23.776566
31,34.680000,25.622404,22.525000,16.394797,100.000000,0.000000,49.970000,28.835379,100.000000,0.000000,38.070000,23.776566
32,34.680000,25.622404,22.525000,16.394797,100.000000,0.000000,49.490000,28.814231,100.000000,0.000000,38.070000,23.776566
33,35.280000,25.262059,22.525000,16.394797,100.000000,0.000000,49.490000,28.814231,100.000000,0.000000,40.160000,22.682689
34,35.280000,25.262059,22.525000,16.394797,100.000000,0.000000,49.490000,28.814231,100.000000,0.000000,40.160000,22.682689
35,35.280000,25.262059,22.525000,16.394797,100.000000,0.000000,49.490000,28.814231,100.000000,0.000000,40.160000,22.682689
36,35.510000,25.314816,22.525000,16.394797,100.000000,0.000000,49.490000,28.814231,100.000000,0.000000,41.495000,25.138615
37,35.510000,25.314816,22.525000,16.394797,100.000000,0.000000,49.490000,28.814231,100.000000,0.000000,41.495000,25.138615
